"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2006.68063660776
"2","member","Sunday",829.676291952195
"3","casual","Monday",1702.10468978978
"4","member","Monday",718.688119118067
"5","casual","Tuesday",1520.1512866412
"6","member","Tuesday",717.064695908704
"7","casual","Wednesday",1450.38206096851
"8","member","Wednesday",713.479240025252
"9","casual","Thursday",1482.06254023115
"10","member","Thursday",726.052656821077
"11","casual","Friday",1651.10886337767
"12","member","Friday",741.888715568169
"13","casual","Saturday",1934.56836701769
"14","member","Saturday",835.901010731907
